labels,tokens,
NAG,catch the action live at http://t.co/dpaeycszmt #indvpak #indvspak #kohli wahab riaz umesh yadav akmal http://t.co/b9zi3lmjrf,
CAG,"allowing uae to bowl maiden is india's contribution towards encouraging associates to play well. also, part of govt's diplomacy! #indvsuae",
OAG,JNU is a blot on our education system. #ShutDownJNU,
OAG,Anything & everything that has got something to do with the word 'Jawaharlal Nehru' has proved to be insidious for India. #ShutDownJNU,
NAG,<Anant Prakash Narayan at JNU Azadi Chowk> #StandWithJNU https://www. youtube.com/watch?v=uQb77B slRqQ … http:// fb.me/2EBW2RHW5,
NAG,"pakistan ni team ma vanio, yasir shah #indvspak",
CAG,I fully agree #shutdownJNU https:// twitter.com/ExSecular/stat us/789005012949086208 …,
NAG,"omg 💝 ليث أبو جودة https://t.co/vlg11nplj8 #laithabujoda #laithalahyesamehna #indvsuae laith first song""",
NAG,ra-ha-ne crease pe raha-nahi #indvspak #bleedblue,
NAG,@catty166 hahahaha so jaa fir :p #indvsuae,
NAG,virat kohli leads india to victory against pakistan: http://t.co/yxhffctq2r #bleedblue #indvspak #cwc2015 # http://t.co/ha1ksy0nsn,
NAG,congrats kohli its 50 by chiku @imvkohli #indvspak #indwins,
NAG,man of the player virat kohli - rameez raja (iin pakistan) #indvspak #जयहिंद #manoftheplayer,
OAG,"Now if someone suicide in the shame, Rahulbaba will compare him(anti-national) with mahatma Gandhi #ShutDownJNU #Flashpointafzal",
OAG,Where is Awards Wapsi Gang ? May be they close eyes and ears and not listen/see Anti National slogans. #ShutDownJNU,
NAG,saeed ajmal to play for pakistan in #indvspak battle. #wontgiveitback #cwc15 http://t.co/j9siosewq6,
CAG,You will soon hear good news from JNU. something like this ....;) #ShutDownJNU (Pic:Aladeen) pic.twitter.com/0BzVgmJJzb,
NAG,rt @hdfclife: ashwin spinning his magic web against the uae #myteammypride #indvsuae #cwc15,
OAG,The selfishness n vote bank politics by muslim league led 2 d partn of nation am sighting d same if such traitors r nt stopped #ShutDownJNU,
NAG,I agree... #ShutDownJNU https:// twitter.com/abhijeetsinger /status/697494818625159168 …,
OAG,ha ha ha d uneducated lot is far more better dan dis bloody idiots who r ready 2 divide d country again #ShutDownJNU @TimesNow,
OAG,Umar and Co team has lost all moral right to be in India.Let them be where they should be.Bars. #ShutdownJNU https:// twitter.com/DrGPradhan/sta tus/697471612224798721 …,
NAG,patakhe bajenge but india mai hee #indvspak,
NAG,"kohli to afridi ""beta tumse nah ho paayega"" #indvspak #indiavspakistan",
NAG,"rt ndtv ""shekhar_gupta match 21. #indvsuae, ind 6/0 (2.4), r sharma 4(11) s dhawan 2(5) uae 102/10 (31.3) http://t.co/ud6hj8lcoo""",
NAG,hahahaha..pakistan all out.. :d #indvspak #cwc2015 http://t.co/focaehogak,
OAG,@harsukhr RSS/BJP want all education institute be close which DONOT teach AndhBhakti & Herd-Mentality #ShutDownJNU,
NAG,"Open letter to JNU VC from Professor Harjeet Singh Gill, Emeritus Professor :) #StandWithJNU #BJPKilledDemocracy pic.twitter.com/RGjRqA103e",
NAG,on every ball your heart is singing dak dak dak dak dak. #pakvsind #indvspak #cwc15 @zainabsbeautyc @rabiaanumm,
OAG,"#ShutDownJNU , communalization is killing our democracy!",
CAG,Craziest trend I have ever seen #ShutDownJNU @barsha_c14 @mitra_shreya,
OAG,This is just sad :( Soldiers sacrifice their lives protecting these traitors #ShutDownJNU https:// twitter.com/A_boy_tweets/s tatus/697479899062231041 …,
NAG,akshay kumar plz ground me khud pado. :( :p #indvspak,
NAG,shoaib akhtar all praises for dhoni view here: http://t.co/p7vhnhbjvl #cwc15 #indvspak #pakvsind #wewillbringitback http://t.co/ybvnca69jw,
NAG,#fnind cm arvind kejriwal with deputy chief minister and all his ministers at ramlila maidan #indvspak #aapkacm http://t.co/jdsfehxi78,
NAG,was that kamran akmal at long-on? #catchdrop #indvspak,
OAG,Before JNU Becomes Jihadi Nurturing University #ShutDownJNU . @DrGPradhan @ShainaNC,
NAG,#doublekameetha #khubanikameetha ek taraf and #indvspak ka meetha ek taraf..!! b-),
CAG,#shutdownjnu enough us enough. you all are not able to consider *insaan..,
CAG,#WhereIsNajeeb commies have killed him to get into limelight #ShutdownJNU,
CAG,Useless University Useless Students #Shutdownjnu #JNUneedsStrictAction,
NAG,@rajash88 arre bet is now null n void coz na zayada hai na kum #indvspak,
NAG,@kohlilove_x: porkis k faces :p #indvspakyakh,
NAG,#indvspak#won'tgiveitback#100#viratkohli....india india!!!,
NAG,vj_ind: @hdfclife #myteammypride #indvsuae #indwins wohoooooo :ddd we ... - http://t.co/q4j3j20bon #indiadefends http://t.co/ddeakvibrh,
NAG,beautiful swing and bounce in perth. #indvsuae,
NAG,chutiyapa is tweeting #indvspak now -_-,
NAG,a big loveable slap on pakistan player.. #late post* *sachai ki jeet* #indvspak #bleedblue #wewontgiveitback,
NAG,rt @anahitairani1: enjoying my saturday with #indvsuae match and tweeting to #celkoncheers4india @celkonmobile .the admin is very encouragi…,
NAG,"#indvspak mcenroe vs connors, jordan vs johnson, coke vs pepsi, brazil vs argentina, patriots vs packers, bmw vs audi, india vs pakistan.",
NAG,koi score tho bataoooooo #iccworldcup2015 #indvsuae,
CAG,#ShutDownJNU and save the country from anarchists. https:// twitter.com/Humtumandfun/s tatus/786464139019333636 …,
CAG,dhoni - meri to batting hi nahi ayegi 😭😭😭😭😭😭😭😭😭😭 #indvsuae,
CAG,is it FoE and FoS? @BDUTT @sardesairajdeep @sagarikaghose @RanaAyyub speak up now! Hypocrites! #shame #ShutDownJNU,
OAG,#ShutDownJNU how a proud Indian could protest agaist hanging of terror Afzl guru? #shameJNU Welldone #abvp 4act agnst this antinationl act.,
OAG,#ShutDownJNU don't be surprised if umar Khalid leaves India isis dies in a blast and candle March is held in jnu as shaheed umar khalid,
NAG,so misbah is next?!.. or akmal?. #cwc15 #indvspak,
NAG,me chala fc road #pune #indvspak #indwins,
NAG,no public #indvspak match screening? kya chutiyapa hi delhi.,
NAG,playing xi for tomorrow's game #indvspak rohit dhawan kohli rahane raina msd(c/wk) jadeja r ashwin bhuvi umesh shami,
CAG,#ShutDownJNU .JNU needs instant purge and emergent radical surgery.it has became a place of treachers.,
NAG,weldon india legendary performance..by india.. kohli rock pak pak ki bati gul.again pak is flash down. #indvspak,
CAG,#HCU was same. Luckily @ABVPVoice has proof this time. No diff in what happened in HCU & #JNU #ShutDownJNU https:// twitter.com/waglenikhil/st atus/697486516155764736 …,
NAG,(a)mjad out-4 (b)erenger out-4 (c)handaran out-4 #indvsuae,
NAG,virat ki upcoming century par meri happiness ki kasam @thekaranpatel! ek tweet kardo :o xp #cwc15 #indvspak,
CAG,Because they deserve it #ShutDownJNU,
OAG,These stupid who were suppeting Afzal shuld be punished like traitors #ShutDownJNU,
CAG,Instead of sending terrorist from Pak Hfz Sayed should organize campus recruitment in JNU. He'll get skilled labor #MakeInIndia #ShutDownJNU,
OAG,"#ShutDownJNU they are dalit, surviving on quota and has problems with India.. They think they are owner of India.",
CAG,why #ShutDownJNU not showing in suggestions? is Twitter run by some liberal?,
NAG,if pakistan wins today... hahahahahaha lol lol rofl hahahahahaha rofl :d :d hahahahahaha oooh man #indvspak #indwins,
NAG,#chaloniklowicket #chaloniklowicket @olacabs india india india india india india india shout for india #indvsuae lets make it trending guys!,
OAG,@dna We all saw terrorist in making by leftist at #ShutDownJNU and @INCIndia is shaking hand with these anti nationals? #BeatTMCAlone,
NAG,everyone was busy with the #ausvnz match....and we ppl dont the the winner of the toss in the #indvsuae match..!!,
CAG,"#ShutDownJNU : I hope n wish that @PMOIndia will take a note and act against them, Politics doesn't matter when it comes to Nationalism..",
NAG,"Rama Naga, JNUSU General Secretary being taken to AIIMS after his health deteriorated this evening. #StandWithJNU pic.twitter.com/B8dZa0tuhJ",
NAG,india to take on uae at #cwc15 today http://t.co/xkohpdali8 #indvsuae,
CAG,ye uae ki team lull hai. #indvsuae,
NAG,ooooopzz dhawan's gone :o #indvsuae,
NAG,"forecast: hindustan zindabad hai, zindabad tha aur zindabad rahega and then dhoni uproots stump in sunny deol's style. #indvspak",
NAG,virat saying to afridi silent hoja wrna me vilent ho jaunga.. #indvspak,
CAG,absolutely right....I agree.... . #ShutDownJNU,
CAG,malbarisss will be confused about who to support their home country or their actual home country .. #indvsuae,
CAG,Viral is catchy so I sleep #ShutDownJNU,
OAG,Jnu students are not indians so lets #ShutDownJNU,
NAG,"rt @advancedmaushi: as per virat kohli that was a ""bhak teri maa ka bhos**"" catch #indvspak",
OAG,"cricket pe has lo bc, tax toh tumhe hi bharna hai~ uae nris #indvsuae #unionbudget2015",
NAG,an easy win for india courtesy a clinical team show! we r looking solid n unstoppable yet.. 👍✌ have to continue this form! #indvsuae #cwc15,
NAG,fewest innings to 22 odi 100s 143 virat kohli 206 s tendulkar 220 s ganguly 261 r ponting 354 s jayasuriyak#cwc15 #indvspak #cwc2015 #cwc15,
CAG,rt @the_ghatotkachh: uae batsmen are from iin. #indvsuae,
NAG,patake olx pe bech de pakistan bhai. #indvspak,
CAG,"rt @thatwimpyykid: dhoni:we keep our promise,sabko batting milegi. #indvsuae",
OAG,Fuck you leftists scums...anti nationals #ShutDownJNU,
NAG,"surprisingly ther is no binny in the side !! ""nakonchem tikkundi kani danikoo lekkundi""...suits for dhoni as well 😜 #indvspak #cwc15",
NAG,#indvsuae s jus for a formality :) kudos to #india in advance :) better do watch #ausvnz,
CAG,sad day for us as some of our so called intellectuals from JNU are disrespecting our mother INDIA . #ShutDownJNU,
CAG,"Shame on umar, lenin and ishan #ShutDownJNU",
CAG,do the birds know its world cup and not any practice match? #justasking #indvsuae,
NAG,kya hoga un firecrakers ka jo pakistan m logo ne shiddat s kharidha tha😝 #indvspak,
CAG,JNU is becoming worse day by day. Time has come to #shutdownJNU . @PMOIndia @HRDMinistry,
OAG,#StandWithJNU #FightBackJNU https:// twitter.com/Dipankar_cpiml /status/728856144014249984 …,
CAG,Identify each one of them n deport them to African jungle pls... Teach them the lesson of their life..!! #ShutDownJNU https:// twitter.com/YesIamSaffron/ status/786232391324934144 …,
OAG,Gang of Anti-nationals #ShutdownJNU https:// twitter.com/devyanidilli/s tatus/697464484126822400 …,
NAG,booyyaa!!! bring it on😎 #indvsuae #bleedblue,
NAG,india vs west indies - icc wc 2015 | #wontgiveitback | cwf: http://t.co/pwfwkhrphn #indvsuae,
NAG,mr. manmohan and mr. gilani along with india's cricketers during #indvspak @icc cwc mohali. #yehapnagamehai http://t.co/9hy8nasyos,
CAG,wast of our money #shutdownJNU IS ONLY THE OPTION https:// twitter.com/ShekharGokhale /status/790993894175412224 …,
CAG,One of the cheap ways to threaten the Gov on religion to ensure that Gov takes no decisions which would create Religious Chaos #ShutDownJNU,
OAG,With these kinds of acts..we are just easing the job of ISIS! Though don't #ShutDownJNU but take necessary actions agnst this mishappening!,
NAG,abhi bhi 1 hundred k liye wait krna pdega misbah gone #indvspak,
NAG,virat kohli's ratio per century - 6.8 matches per century #cwc15 #indvspak #crictracker,
CAG,"JNU=Jehadi Nurturing University.If such anti national slogans can b raised in Delhi, imagine the state of other places.shameful #ShutDownJNU",
CAG,"@devyanidilli @madskak Freedom of expression cannot become a tool to organise anti national sovereignty"" movement. Bankrupt. #ShutDownJNU""",
CAG,Day12: End the Media Blackout in JNU. #FightBackJNU #WeAreJNU #StandWithJNU @Shehla_Rashid @kanhaiyajnusu pic.twitter.com/LVCYMoZwSc,
CAG,hahaa @ranveerscafe69 rt @delrastogi: #indvsuae srk and ranveer singh are seen more than match. uae at 52 for 6 after 19.5overs.,
CAG,#ShutDownJNU is not the solution of the problem! Why 1000s of students suffer. Bunch of people r anti nationalists not everyone in JNU,
OAG,Dear @smritiirani Take immediate action against all those JNU Jihadis who supports Afzal Guru and please #BanJNU #ShutDownJNU,
OAG,#ShutDownJNU : Parties supporting these traitors should be banned and supporters arrested for the act of sedition.,
CAG,#ShutDownJNU It supports Anti Nationals and Islamic terrorists,
CAG,So it means British rulers were more liberal and confident abt der rule in dis country den dis independent country? (2/2) #ShutDownJNU,
NAG,@starsportsindia @sportanalystcom @bhuviofficial bhuvi kumar should play if fit. #cwc15 #cwcfantasy #indvsuae,
CAG,Mr.VC you can keep me out of JNU but never JNU out of me #standwithJNU #fightbackJNU,
NAG,roflmax.@starsportsindia is just rocking.#indvsuae mouka mouka http://t.co/qadeihalfc,
NAG,that uae mauka ad is hilarious xd #mauka #indvsuae #cwc15,
OAG,"Not seen single tweet of Aaptards and Cong by asking strong action agnt Antinationals, r they sold themselves to votebank? #ShutDownJNU",
NAG,yeh batting hai thakur! ball de de mujhe! #indvspak,
NAG,hahaha kapil dev. simply shut manjrekar up. #indvspak,
CAG,#Bharathkebharbadi ...all these ppl who shouts this shud be booked under terrorist act and hang them like their #Guru #ShutDownJNU,
NAG,#indvsuae uae ka india ko jeet k lye 103 runs ka target + #ausvnz new zealand ne australia ko 1 wicket se shikast de di #worldcup2015 #cwc15,
CAG,#ShutDownJNU wht these guys r doing is shockng...whr r v heading...,
OAG,They are shouting ANTI NATIONAL slogans and you ASS HOLES call it FREEDOM OF SPEECH !! #ShutDownJNU pic.twitter.com/kEd69HQUae,
NAG,pakistan ka don bread man out ::p #indvspak,
CAG,What Are Vice Chancellors Made Of? http:// lsh.re/1285Z #JNU #StandWithJNU #HCU #WeAreJNU #India #Education #SeditionRow #JNURow,
NAG,"didn't get to live tweet during #indvsuae due to college. but luckily i have a holiday on #ind vs #wi , which means i can live tweet! #cwc15",
NAG,not much excited about #indvsuae. . . only excitement is to watch the new @starsportsindia ad. @icc #cwc15,
CAG,rt @hathwalathakur: just in: arun lal is more disappointed as he didn't get much time for commentary than the uae team's poor performance. …,
NAG,india 19/0 after 5 overs. #indvsuae dhawan getting into groove. http://t.co/6xjho8cvcx,
NAG,guys match ku ready ya #indvsuae inaiku summa kele kele kele󾔗,
CAG,This is how Politics and women who file False cases of sexual harassment breed together at #JNU . #ShutDownJNU pic.twitter.com/MFGWiUM2BW,
CAG,It's a battle for all of us: Two nights with the JNU hunger strikers at Freedom Square http:// scroll.in/article/807793 /its-a-battle-for-all-of-us-two-nights-with-the-jnu-hunger-strikers-at-freedom-square … via @scroll_in #StandWithJNU,
NAG,tt india 09:04 1.#indvspak 2.#mustwatchmsg 3.#wivire 4.#जयहिन्द 5.#iplauction 6.rega jha 7.ireland 8.congrats team india 9.windies 10.giroud,
NAG,"big up swapnil_doriya http://t.co/pncvy4p8ac for your post "" #copied #worldcup #indvsuae #wewantitback #goindia",
OAG,after Kanhaiya another rbloody drama ... #ShutDownJNU https:// twitter.com/MsSantoesha/st atus/790245293606461440 …,
NAG,tt mobile in @ttmobile_in: tt india 12:24 1.#ausvnz 2.#nzvaus 3.#superbudget 4.#indvsuae 5.#sabkabudget 6.star... http://t.co/9aseeiyxvu,
NAG,@russelarnold69 namma match ku commentary pannaleiya #indvspak,
NAG,"* dressing room * mauka mauka, mauka mauka ~ india team to rohit sharma #indvsuae",
NAG,@vennelakishore bhayya good afternoon!!! hoohoo #indvsuae first wicket loss☺️☺️ #cwc15 #umeshyadav 👌👌👌,
NAG,waiting for new #maukamauka advt @starsportsindia #cwc2015 #indvsuae,
NAG,"im glad imrank sahb didnt make naya pakistan wrna it wud have gone lyk this on indvspak match haray ga naya pakistan,haray ga naya pakistan",
CAG,सब दिख रहा है। और ये सब बहुत जल्दी हो गया। अब चाटोगे बेटा लिख लियो। #ShutDownJNU,
CAG,"#ShutDownJNU For @TimesNow students chanting afzal guru is dissident""?? Os this an option? Shame! https:// twitter.com/TimesNow/statu s/697403553107697665 …""",
CAG,#ShutDownJNU Goes Viral: People demand Govt. to Shut Down anti-national JNU http:// fb.me/7EHIgU3QW,
NAG,heat map of tweets indvspak #cwc15 amazing http://t.co/d6elymlkis,
NAG,"finally, time to move on to the other game. #indvsuae #cwc15",
CAG,#ShutDownJNU trending worldwide at no.5 bhakt power,
CAG,"dear pakistan, ab diwali me hi bajana patake #indvspak",
NAG,"rt @smaaashlive: all the questions are individual #contest, winners will be announced after every question. #cwc15 #indvsuae",
NAG,mouka mouka to see @ipoonampandey 2morow again #indvsuae,
NAG,"JNUTA Relay Hunger Strike, Day II #StandWithJNU http:// fb.me/7MDL0baev",
NAG,"miss you sehwag n yuvi :""( chak de india #indvspak #indwins",
NAG,both delhi batsmen making 100. aap bhakts: kejriwal revolution. #indvspak #copy.,
NAG,Exactly. #ShutdownJNU https:// twitter.com/suryahsg/statu s/786389357305311232 …,
NAG,"Q. How to burn water ? A. Take water in a pot, heat until it all become vapour .... and wait for Next Mansoon. #shutdownJNU",
CAG,#ShutDownJNU #JNURow Stop all subsidies given to these morons and shutdown this den of terror called #JNU ... 4/n,
OAG,#ShutDownJNU what a prejudice! Shut this university and change the organisation altogether.. Line up with some reputed university,
OAG,We are d country whr we give milk to poisonous snakes and fight for their mercy petition on tax payers money. #flashpointafzal #ShutDownJNU,
NAG,chalo ek excuse already milgaya pakistan ko #3rdumpire #sourloosers #pak #indvspak #wewillbringitback,
OAG,They partitioned your country.They screwed Kashmir & Now they are giving anti India slogans in your country's capital.Wake up! #ShutDownJNU,
CAG,@BJPLucknowBJP @BJP4India @BhimBassi @DelhiPolice Took you as official BJP UP. Points must be raised and action must be taken. #shutdownjnu,
NAG,doubles- wicket: pakistan 102/4 (target: 301) v india sohaib maqsood c raina b yadav 0 (2) yadav 4.4-0-25-2 #indvspak #indvpak #cwc15,
NAG,@hdfclife #indvspak 3 - total number of catches by teamindia :d meri team meri jeet!! #myteammypride indiaaahhhhh,
CAG,#ShutDownJNU do it..,
NAG,what a wicket !!!!!!!!! woohooooo #indvsuae #wontgiveitback #cwc15 #bleedblue,
CAG,take actions..stop them before its too late #ShutDownJNU,
CAG,#JNU #ShutDownJNU Hizbul and Lashkar sleeper cells active in JNU https:// twitter.com/Yamla_jaat/sta tus/790434128512462849 …,
OAG,Where r people who returned awards for #Intorance India now all r quite #shame pls take action @narendramodi @ArvindKejriwal #ShutDownJNU,
CAG,"These anti nationalists just want to destabilize india.so destabilize these anti nationals,act strongly and harshly.. #ShutDownJNU",
CAG,Who has indoctrinated & brainwashed these obdurate & cantankerous dimwits? Expel & expunge anything that promotes Sedition. #ShutDownJNU,
OAG,@waglenikhil And you remember your own Communist/Marxist/Anti National history. #ShutDownJNU https:// twitter.com/waglenikhil/st atus/697495977649950720 …,
CAG,#ShutDownJNU #ShutDownJNU #ShutDownJNU #ShutDownJNU #ShutDownJNU #ShutDownJNU #ShutDownJNU #ShutDownJNU https:// twitter.com/BJPLucknowBJP/ status/697492200339304449 …,
OAG,@shafaq__khan #ShutdownJNU Terrorist in the making https:// twitter.com/shafaq__khan/s tatus/697498299960406018 …,
OAG,Lot of people in JNU are in need of serious psychological help to deal with their hallucinations and insecurities. #ShutDownJNU,
OAG,Boycott these Terrorist Sympathisers in Media #ShutDownJNU https:// twitter.com/waglenikhil/st atus/697486516155764736 …,
CAG,#ShutDownJNU and save the brainwashing of youth by Anti National Marxists,
OAG,@DelhiPolice - What is stopping u from arresting the ppl chanting Anti India slogans at JNU? Pls act swiftly and arrest them. #ShutDownJNU,
CAG,Sometimes I really feel that Indian soldiers are pointing guns in wrong direction.. True enemies are in our country. #ShutDownJNU,
OAG,"#ShutDownJNU Nation shd cme 1st n anythng detrimentll 2 national interest shd b strictly dealt wd ,wdout exception. https:// twitter.com/iNirajVerma/st atus/697442438307147777 …",
CAG,#ShutDownJNU or #ConvertJNU2SCBU SubhashChandBoshUniversity https:// twitter.com/mvmeet/status/ 697481434743840768 …,
OAG,@waglenikhil pls use #ShutDownJNU and show ur patriotism,
OAG,JNU should be burnt down to ashes. #ShutDownJNU #FlashpointAfzal,
OAG,#shutdownjnu All Edu Institutes should be closed until these Anti Nationalist are arrested.....,
CAG,aj rohit sharma k talent tsunami me uae doob jayega. #indvsuae,
CAG,"modi n nawaz k phone kya h, bas ab to match fix hgya! #indvspak #justpakistanithings",
OAG,sannata in kashmiri muslims occupants homes. rip haramkhor traitors !! #indwins #worldcup #indvspak #जयहिन्द,
OAG,#ShutDownJNU has #become #dumping #station of #antinationals #PakLovers #heaven #JNU @HMOIndia @PMOIndia pic.twitter.com/SXCUE9jNi7,
CAG,Something like this could happen when the indoctrinated try to take on the educated... :) #StandWithJNU ... http:// fb.me/8aoRFjrir,
OAG,"@waglenikhil SO, basically u support anti-national activities in JNU. #ShutDownJNU",
OAG,Suppress voice of dissent #ShutDownJNU Force Rohith to commit suicide So this is future India What a shame @narendramodi,
OAG,We cant allow cowards surviving on tax payers money and using educational campus for anti national activities #ShutDownJNU,
CAG,hahahaha hahahaha....103 to win?? hahahahahahha...:p #indvsuae !!!!,
CAG,ye #worldcup2015 nahi ye hai world vs india.. 3rs adv mauka mauka ..... #indvsuae .. ! ! ! #undefinedlover... http://t.co/nkube8xc8z,
CAG,#ShutDownJNU : we will prove ourselves to be eunuchs if we simply let go these perpetrators of sedition.,
OAG,Retweeted Sheetal (@shtl1980): #ShutDownJNU 3lac is the Amt that cost a taxpayer for these antinationals... http:// fb.me/Ksukbi4b,
OAG,@narendramodi pls arest @_sabanaqvi @RanaAyyub n their junis in jnu these ppl r dangrous thn who cme frm cros border #ShutDownJNU,
CAG,#ShutDownJNU #JNURow This time if anti-nationals like #Congress #Rahul #Kejriwal #AAP #CPI come to support send them also to Pakistan... 5/n,
CAG,"This isnt the type of India, shaming those who gave away their life for independence #FlashpointAfzal #ShutDownJNU",
OAG,Before JNU Becomes Jihadi Nurturing University #ShutDownJNU .,
OAG,Terrorists disguised as #JNU students!They r colluding with Pak to destabilize & disintegrate India #ShutDownJNU #FlashpointJNU @jeetensingh,
CAG,#uae to gai tel leny ! #indvsuae,
CAG,#shutdownJNU its high time the entire admission process of JNU be streamlined & made transparent. Any student above 25 yrs be thrown out,
CAG,We can even leave off Pakistan based terrorists as they are known enemies. But we shouldn't tolerate these Inland bastards. #ShutDownJNU,
CAG,"rt @vksisodiya: waah bhai! gajab gajab! @fakingnews ok, india needs 1712 runs to win - uae #indvsuae http://t.co/yd4w5nffyj",
CAG,"One who funds, supports or acts against the Nation in support of a traitor, is also considered as a Traitor in the eyes of law. #ShutDownJNU",
CAG,@sudhirchaudhary Hafiz Sayeed should hire terrorists from JNU.He will get educated terrorists. #ShutDownJNU,
OAG,متحدہ مخالف اداروں کو بند کرو. بہت ہو گیا !! جے ہند. #JNU #ShutDownJNU,
CAG,Let's Arnab decide fate of JNU on timesnow #ShutDownJNU,
OAG,Why this protest at this time?......Manufacture tensions by playing victim if police crack down on these anti-nationals? #ShutDownJNU,
OAG,Sonia's sleeper cell to trigger unrest in INDIA. #Presstitutes #AwardWapsi gang #SeditionGang #shutDownJNU @eparitosh,
CAG,@SouleFacts but tht was just a secular liberal protest by a few civilized ppl exercising their freedom of speech. #ShutDownJNU,
CAG,"JNU student from Manipur found dead in his hostel room, body taken for post mortem, details awaited #ShutDownJNU",
CAG,Only one university in India is making headlines these days and that too for wrong reasons ! #ShutDownJNU @rajnathsingh https:// twitter.com/ANI_news/statu s/791136284299452417 …,
OAG,What kind of Freedom of Speech Allows these Traitors to Honor a Terrorist at Taxpayer's Money #ShutDownJNU,
OAG,when it comes to insulting Jawaharlal Nehru these congress goons go mad but they can insult sitting PM at will? #ShutDownJNU,
CAG,@_YogendraYadav @Prakashkarat4pm Why are you quite on degadation of your university image #ShutDownJNU pic.twitter.com/IUXugDwGdK,
OAG,#shutdownjnu All Edu Institutes should be closed until these Anti Nationalist are arrested..,
OAG,"Jst sw jnu students delivering antiindian slogans, each 1 of those traitors shud be suspended #shutdownJNU https:// twitter.com/aviralkshatriy a/status/697493066597281792 …",
CAG,yeh match hay ya mazaak hay? 😆😂😂#indvsuae,
OAG,"anyways, so slaughter pigs directly next time. Save time. (2of2) #ShutDownJNU",
CAG,#ShutDownJNU These traitors shld be behind bars & shld be severely punished. They r openly threatening India. @PMOIndia dnt sleep! act.!,
CAG,#ShutdownJNU ought to be war cry https:// twitter.com/chennaica/stat us/786918769180413952 …,
OAG,"@harsukhr When One innocent Muslim Father of ArmyMen was killed, RSS/BJP did NOT call killers AntiIndia DeshDrohi #ShutDownJNU",
CAG,the said student must have gone out to join ISIS #ShutDownJNU https:// twitter.com/CNNnews18/stat us/788955101641650177 …,
OAG,"A sincere request to GOI, dont waste taxpayers money on traitors like umar khalid. #ShutDownJNU",
CAG,It is sadng 2 see d mst peacfull religion of d wrld getting maligned by its own ppl plz stop protest hangng of #flashpointafzal #ShutDownJNU,
OAG,"Any of these boys was my son, I would've shot him myself #ShutDownJNU",
OAG,#ShutDownJNU on an average 3 lakhs Rs taxpayer money is spent on these JNU antisocial goons !,
CAG,These rats feeds on our hard earned Taxes and they want to break down our beloved country #ShutDownJNU and strip them of all subsidy,
CAG,rt @miss_woww: dear uae! don't worry. india has been kind to pakistan &amp; sa too. sabko batting karne ka mauka milega. #indvsuae,
CAG,India needs to repeat China in JNU. #ShutDownJNU,
OAG,So dis guys wana#BharatKiBarbadi& terrorist Afzal termd a Martyr #ShutDownJNU .unfollowng#Leftists @kavita_krishnan https:// twitter.com/malviyamit/sta tus/697487731081883648 …,
OAG,"What's the logic behind supporting a terrorist ? If they say a logic, then rank them also as terrorists ! #ShutDownJNU @VenkatN_Tss",
CAG,wuhhhuu!! india crushed #uae by 9 wickets!! @bcci @starsportsindia @cricketworldcup #indvsuae #third #consecutive #win #bleedblue,
OAG,#ShutDownJNU why are we tolerating such a nonsense,
CAG,Institutions r meant to be study in..not playing wid d respect of ur own nation... #ShutDownJNU,
OAG,Who are these #traitors to associate dalits with #terrorist like afzal guru n yakub menon Its an insult to #dalits n INDIA #ShutDownJNU,
CAG,"#shutdownJNU Police act shd hve been earlier &not let ghero""go on?Our law &order/Govt indecisive unable2 handle precipitating situations""",
OAG,#ShutDownJNU #JNURow #JNU morons but have whole lot of free time for #antinationalacts #sexscandals #drugrackets and all...7/n,
OAG,Indians should refuse to pay tax until the govt doesn't stop funding JNU #ShutDownJNU,
OAG,On @newshour Arnab was thrashing Umar khalid mercilessly but @NupurSharmaBJP came to their rescue by intervening @wrong time #ShutDownJNU,
CAG,kya boring match hai 😭😭😭 #indvsuae #wewontgiveitback,
CAG,Celebrating the resistance in #JNU ...in the times of fascism #HungerStrike #standwithjnu pic.twitter.com/gLhM35Z95d,
CAG,why indian tax payers money butilised 4 such varsity? Time to #ShutDownJNU or let them find funding 4m elsewhere,
OAG,Retweeted Chandra Kant ( @chandu532 ): #ShutDownJNU These Basatards should be not only arrested but should be... http:// fb.me/48B2k31gy,
CAG,"#ShutDownJNU : Apply Criminal Sharia in JNU. 100 lashes for juniors, 200 for seniors, 500 for Kanhaiya & co",
OAG,"Well as part of Corporate Social Responsibility,companies should avoid hiring from JNU #ShutDownJNU",
CAG,"a few months back we had called on to #shutdownjnu , whether it is done ?",
CAG,"rt @roflgandhi_: uae in english, yun hi in hindi, eiwen hi in punjabi. #indvsuae",
CAG,We don't need people like Kanhiya Kumar. @PMOIndia #shutdownJNU,
CAG,The continued media radio silence over the JNU students' hunger strike is tragic. #FightBackJNU #StandwithJNU https:// twitter.com/kafila/status/ 729601373000454148 …,
OAG,dear @AamAadmiParty throw ur senseless trends #AAPVictoryDay ...support nationalist trends #ShutDownJNU .... @ArvindKejriwal @DrKumarVishwas,
CAG,pakistani team k burke ready h aur dressing room m aa gaye hain ....#indvspak,
CAG,Only after the growth of ABVP this strangling silence was broken with celebration of Durga Puja in a hostel room in late 90s. #ShutDownJNU,
CAG,"AC rules, VC runs #StandWithJNU Resolution passed by Members of the Academic Council JNU May 10, 2016 https:// shar.es/1eTacZ via @sharethis",
CAG,Seriously I am ashamed to see the future of our country like this #ShutDownJNU,
